"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD","UNIDAD DE MEDIDA"
"2014 Jan 14 12:00:00 AM","47","MAGDALENA","47053","ARACATACA","1","UNIDAD"
"2014 Jan 14 12:00:00 AM","99","VICHADA","99773","CUMARIBO","1","UNIDAD"
"2014 Jan 14 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2014 Jan 13 12:00:00 AM","23","CORDOBA","23580","PUERTO LIBERTADOR","4","UNIDAD"
"2014 Jan 13 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","1","UNIDAD"
"2014 Jan 13 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2014 Jan 13 12:00:00 AM","47","MAGDALENA","47189","CIENAGA","1","UNIDAD"
"2014 Jan 12 12:00:00 AM","85","CASANARE","85410","TAURAMENA","1","UNIDAD"
"2014 Jan 12 12:00:00 AM","85","CASANARE","85440","VILLANUEVA","1","UNIDAD"
"2014 Jan 12 12:00:00 AM","85","CASANARE","85139","MANI","1","UNIDAD"
"2014 Jan 11 12:00:00 AM","86","PUTUMAYO","86573","PUERTO LEGUIZAMO","1","UNIDAD"
"2014 Jan 11 12:00:00 AM","23","CORDOBA","23466","MONTELIBANO","1","UNIDAD"
"2014 Jan 10 12:00:00 AM","19","CAUCA","19050","ARGELIA","1","UNIDAD"
"2014 Jan 10 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","1","UNIDAD"
"2014 Jan 10 12:00:00 AM","05","ANTIOQUIA","05854","VALDIVIA","1","UNIDAD"
"2014 Jan 10 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","5","UNIDAD"
"2014 Jan 09 12:00:00 AM","05","ANTIOQUIA","05480","MUTATA","1","UNIDAD"
"2014 Jan 09 12:00:00 AM","23","CORDOBA","23807","TIERRALTA","1","UNIDAD"
"2014 Jan 09 12:00:00 AM","19","CAUCA","19050","ARGELIA","1","UNIDAD"
"2014 Jan 09 12:00:00 AM","52","NARIÑO","52835","SAN ANDRES DE TUMACO","1","UNIDAD"
"2014 Jan 08 12:00:00 AM","76","VALLE DEL CAUCA","76109","BUENAVENTURA","1","UNIDAD"
"2014 Jan 08 12:00:00 AM","95","GUAVIARE","95200","MIRAFLORES","1","UNIDAD"
"2014 Jan 08 12:00:00 AM","68","SANTANDER","68250","EL PEÑON","1","UNIDAD"
"2014 Jan 07 12:00:00 AM","19","CAUCA","19397","LA VEGA","1","UNIDAD"
"2014 Jan 05 12:00:00 AM","54","NORTE DE SANTANDER","54670","SAN CALIXTO","3","UNIDAD"
"2014 Jan 05 12:00:00 AM","05","ANTIOQUIA","05887","YARUMAL","1","UNIDAD"
"2014 Jan 05 12:00:00 AM","23","CORDOBA","23466","MONTELIBANO","1","UNIDAD"
"2014 Jan 04 12:00:00 AM","52","NARIÑO","52473","MOSQUERA","1","UNIDAD"
"2014 Jan 04 12:00:00 AM","18","CAQUETA","18610","SAN JOSE DEL FRAGUA","8","UNIDAD"
"2014 Jan 04 12:00:00 AM","18","CAQUETA","18753","SAN VICENTE DEL CAGUAN","1","UNIDAD"
"2014 Jan 03 12:00:00 AM","76","VALLE DEL CAUCA","76109","BUENAVENTURA","1","UNIDAD"
"2014 Jan 03 12:00:00 AM","19","CAUCA","19075","BALBOA","1","UNIDAD"
"2014 Jan 02 12:00:00 AM","86","PUTUMAYO","86320","ORITO","1","UNIDAD"
"2014 Jan 01 12:00:00 AM","23","CORDOBA","23466","MONTELIBANO","1","UNIDAD"
"2014 Jan 01 12:00:00 AM","18","CAQUETA","18592","PUERTO RICO","1","UNIDAD"
"2014 Jan 01 12:00:00 AM","05","ANTIOQUIA","05665","SAN PEDRO DE URABA","1","UNIDAD"
"2013 Dec 30 12:00:00 AM","86","PUTUMAYO","86320","ORITO","1","UNIDAD"
"2013 Dec 30 12:00:00 AM","05","ANTIOQUIA","05652","SAN FRANCISCO","1","UNIDAD"
"2013 Dec 28 12:00:00 AM","52","NARIÑO","52473","MOSQUERA","1","UNIDAD"
"2013 Dec 28 12:00:00 AM","52","NARIÑO","52256","EL ROSARIO","1","UNIDAD"
"2013 Dec 26 12:00:00 AM","18","CAQUETA","18256","EL PAUJIL","16","UNIDAD"
"2013 Dec 26 12:00:00 AM","54","NORTE DE SANTANDER","54670","SAN CALIXTO","4","UNIDAD"
"2013 Dec 25 12:00:00 AM","27","CHOCO","27077","BAJO BAUDO","1","UNIDAD"
"2013 Dec 24 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2013 Dec 21 12:00:00 AM","52","NARIÑO","52250","EL CHARCO","1","UNIDAD"
"2013 Dec 19 12:00:00 AM","18","CAQUETA","18860","VALPARAISO","1","UNIDAD"
"2013 Dec 19 12:00:00 AM","15","BOYACA","15507","OTANCHE","1","UNIDAD"
"2013 Dec 19 12:00:00 AM","18","CAQUETA","18029","ALBANIA","2","UNIDAD"
"2013 Dec 17 12:00:00 AM","27","CHOCO","27491","NOVITA","2","UNIDAD"
"2013 Dec 16 12:00:00 AM","18","CAQUETA","18410","LA MONTAÑITA","3","UNIDAD"
"2013 Dec 16 12:00:00 AM","99","VICHADA","99773","CUMARIBO","1","UNIDAD"
"2013 Dec 16 12:00:00 AM","54","NORTE DE SANTANDER","54810","TIBU","1","UNIDAD"
"2013 Dec 15 12:00:00 AM","99","VICHADA","99773","CUMARIBO","1","UNIDAD"
"2013 Dec 15 12:00:00 AM","20","CESAR","20710","SAN ALBERTO","1","UNIDAD"
"2013 Dec 14 12:00:00 AM","19","CAUCA","19785","SUCRE","1","UNIDAD"
"2013 Dec 13 12:00:00 AM","47","MAGDALENA","47001","SANTA MARTA","1","UNIDAD"
"2013 Dec 12 12:00:00 AM","18","CAQUETA","18256","EL PAUJIL","1","UNIDAD"
"2013 Dec 11 12:00:00 AM","18","CAQUETA","18410","LA MONTAÑITA","2","UNIDAD"
"2013 Dec 11 12:00:00 AM","18","CAQUETA","18256","EL PAUJIL","1","UNIDAD"
"2013 Dec 11 12:00:00 AM","52","NARIÑO","52427","MAGÜI","1","UNIDAD"
"2013 Dec 11 12:00:00 AM","27","CHOCO","27580","RIO IRO","1","UNIDAD"
"2013 Dec 11 12:00:00 AM","50","META","50350","LA MACARENA","1","UNIDAD"
"2013 Dec 10 12:00:00 AM","68","SANTANDER","68573","PUERTO PARRA","1","UNIDAD"
"2013 Dec 10 12:00:00 AM","27","CHOCO","27660","SAN JOSE DEL PALMAR","1","UNIDAD"
"2013 Dec 10 12:00:00 AM","05","ANTIOQUIA","05652","SAN FRANCISCO","1","UNIDAD"
"2013 Dec 10 12:00:00 AM","25","CUNDINAMARCA","25839","UBALA","1","UNIDAD"
"2013 Dec 10 12:00:00 AM","18","CAQUETA","18256","EL PAUJIL","3","UNIDAD"
"2013 Dec 07 12:00:00 AM","19","CAUCA","19130","CAJIBIO","1","UNIDAD"
"2013 Dec 07 12:00:00 AM","27","CHOCO","27800","UNGUIA","1","UNIDAD"
